ticker,name,theme,theme_key,sector,price,score,catalyst,sector_momentum,technical,quality,value,risk,ret1_pct,ret5_pct,ret20_pct,rsi,band52_pct,volume_ratio,marketCap_B,forwardPE,trailingPE,ps,revenueGrowth,news_score_raw,negative_news_raw,news,reason
EOG,"EOG Resources, Inc.",Oil / Gas / LNG,energy_oil_gas,Energy,139.12,77.3,100,58,65,82,56,87,3.4,7.24,-0.73,62.2,80.3,0.29,74.1,9.4,13.7,3.1,15.6,6.96,0.24,"Oil prices rise after U.S. administration says ceasefire with Iran is ‘over’ - Travelweek || Oil prices rise 7%, and stocks drop worldwide after Trump says ceasefire with Iran is 'over'...","Katalizör: Oil prices rise after U.S. administration says ceasefire with Iran is ‘over’ - Travelweek || Oil prices rise 7%, and stocks drop worldwide after Trump says ceasefire with Iran is 'over'... | Teknik: RSI 62.2, 20g -0.73% | Fwd P/E 9.4 | Gelir büy. 15.6% | 52h band 80.3%"
FTNT,"Fortinet, Inc.",Cybersecurity,cybersecurity,Technology,155.55,77.1,100,81,64,90,4,88,-1.97,1.26,8.75,60.1,92.3,0.24,114.0,45.4,60.1,16.0,20.1,2.79,0.0,Accenture faces massive data breach that could put clients at risk - Cybersecurity Dive || 23andMe data breach victims win court approval for a $46.75 million settlement - qz.com,"Katalizör: Accenture faces massive data breach that could put clients at risk - Cybersecurity Dive || 23andMe data breach victims win court approval for a $46.75 million settlement - qz.com | Teknik: RSI 60.1, 20g 8.75% | Fwd P/E 45.4 | Gelir büy. 20.1% | 52h band 92.3%"
V,Visa Inc.,Banks / Fintech / Rates,fintech_banks,Financial Services,348.45,76.0,94,76,68,88,9,90,-1.06,1.56,9.0,63.0,79.6,0.25,662.7,23.4,30.4,15.4,17.1,1.06,0.31,"Global Economy, Hit by Iran War and Inflation, Faces Sharp Slowdown - The New York Times || IMF Drops Recession Warning in Wake of June Ceasefire - WSJ","Katalizör: Global Economy, Hit by Iran War and Inflation, Faces Sharp Slowdown - The New York Times || IMF Drops Recession Warning in Wake of June Ceasefire - WSJ | Teknik: RSI 63.0, 20g 9.0% | Fwd P/E 23.4 | Gelir büy. 17.1% | 52h band 79.6%"
OKTA,"Okta, Inc.",Cybersecurity,cybersecurity,Technology,146.07,75.2,100,81,63,65,38,86,-1.62,7.05,25.01,83.1,97.0,0.31,25.4,34.1,105.8,8.5,11.2,2.79,0.0,Accenture faces massive data breach that could put clients at risk - Cybersecurity Dive || 23andMe data breach victims win court approval for a $46.75 million settlement - qz.com,"Katalizör: Accenture faces massive data breach that could put clients at risk - Cybersecurity Dive || 23andMe data breach victims win court approval for a $46.75 million settlement - qz.com | Teknik: RSI 83.1, 20g 25.01% | Fwd P/E 34.1 | Gelir büy. 11.2% | 52h band 97.0%"
ABBV,AbbVie Inc.,Healthcare / Biotech / GLP-1,healthcare_biotech,Healthcare,254.91,74.4,81,78,58,87,43,89,0.1,1.3,14.27,75.4,92.3,0.18,450.2,15.7,124.9,7.2,12.4,0.73,0.0,23andMe data breach victims win court approval for a $46.75 million settlement - qz.com || GhostApproval: A Trust Boundary Gap in AI Coding Assistants - wiz.io,"Katalizör: 23andMe data breach victims win court approval for a $46.75 million settlement - qz.com || GhostApproval: A Trust Boundary Gap in AI Coding Assistants - wiz.io | Teknik: RSI 75.4, 20g 14.27% | Fwd P/E 15.7 | Gelir büy. 12.4% | 52h band 92.3%"
PLTR,Palantir Technologies Inc.,Defense / Aerospace,defense,Technology,128.25,74.2,100,61,56,100,3,87,-4.55,9.93,-6.02,45.8,21.0,0.45,307.5,61.2,144.1,58.9,84.7,5.47,0.36,"Oil prices rise to record level after Iran launches attacks on tankers near strait of Hormuz... || Teenager arrested after two girls, 13, seriously injured in German school attack","Katalizör: Oil prices rise to record level after Iran launches attacks on tankers near strait of Hormuz... || Teenager arrested after two girls, 13, seriously injured in German school attack | Teknik: RSI 45.8, 20g -6.02% | Fwd P/E 61.2 | Gelir büy. 84.7% | 52h band 21.0%"
S,"SentinelOne, Inc.",Cybersecurity,cybersecurity,Technology,17.53,73.8,100,81,63,55,45,86,-3.44,3.33,11.33,73.7,71.4,0.23,6.0,35.5,,5.7,20.8,2.79,0.0,Accenture faces massive data breach that could put clients at risk - Cybersecurity Dive || 23andMe data breach victims win court approval for a $46.75 million settlement - qz.com,"Katalizör: Accenture faces massive data breach that could put clients at risk - Cybersecurity Dive || 23andMe data breach victims win court approval for a $46.75 million settlement - qz.com | Teknik: RSI 73.7, 20g 11.33% | Fwd P/E 35.5 | Gelir büy. 20.8% | 52h band 71.4%"
TENB,"Tenable Holdings, Inc.",Cybersecurity,cybersecurity,Technology,39.05,73.7,100,81,63,46,64,84,-3.87,5.88,41.69,82.4,91.1,0.3,4.3,18.0,,4.2,9.6,2.79,0.0,Accenture faces massive data breach that could put clients at risk - Cybersecurity Dive || 23andMe data breach victims win court approval for a $46.75 million settlement - qz.com,"Katalizör: Accenture faces massive data breach that could put clients at risk - Cybersecurity Dive || 23andMe data breach victims win court approval for a $46.75 million settlement - qz.com | Teknik: RSI 82.4, 20g 41.69% | Fwd P/E 18.0 | Gelir büy. 9.6% | 52h band 91.1%"
OXY,Occidental Petroleum Corporatio,Oil / Gas / LNG,energy_oil_gas,Energy,54.86,73.5,100,58,68,59,57,88,6.15,12.95,-4.12,54.3,59.5,0.97,54.6,13.8,74.1,2.6,-8.3,6.96,0.24,"Oil prices rise after U.S. administration says ceasefire with Iran is ‘over’ - Travelweek || Oil prices rise 7%, and stocks drop worldwide after Trump says ceasefire with Iran is 'over'...","Katalizör: Oil prices rise after U.S. administration says ceasefire with Iran is ‘over’ - Travelweek || Oil prices rise 7%, and stocks drop worldwide after Trump says ceasefire with Iran is 'over'... | Teknik: RSI 54.3, 20g -4.12% | Fwd P/E 13.8 | Gelir büy. -8.3% | 52h band 59.5%"
AXP,American Express Company,Banks / Fintech / Rates,fintech_banks,Financial Services,338.69,73.0,94,76,68,65,29,88,-3.12,0.4,8.75,48.9,52.8,0.3,231.1,16.8,21.2,3.4,11.6,1.06,0.31,"Global Economy, Hit by Iran War and Inflation, Faces Sharp Slowdown - The New York Times || IMF Drops Recession Warning in Wake of June Ceasefire - WSJ","Katalizör: Global Economy, Hit by Iran War and Inflation, Faces Sharp Slowdown - The New York Times || IMF Drops Recession Warning in Wake of June Ceasefire - WSJ | Teknik: RSI 48.9, 20g 8.75% | Fwd P/E 16.8 | Gelir büy. 11.6% | 52h band 52.8%"
